,freq
2002 Benefit Fund,1
2003 Benefit Fund,1
2005 CINOA Prize and Diane Carol Brandt,1
Acquisitions Fund,1
Adam Williams,1
Adele L. Lehman,7
Administration Fund,1
Alan M. May,1
Alejandro Santo Domingo,1
Alice Borland Wilson,1
Alice Bradford Woolsey,1
Alma Schapiro Fund,1
Anna Mont,2
Anne Cox Chambers,1
Annette de la Renta,3
Anonymous,3
April R. Axton,1
Asbjorn R. Lunde,2
Beatrice Stern,1
Benjamin Altman,12
Bernard M. Baruch,1
Brian J. Brille,1
Brownstein Family Foundation,1
Carolina,1
Catharine Lorillard Wolfe,1
Catharine Lorillard Wolfe Collection,1
Charles B. Curtis Fund,3
Charles and Jessie Price,4
Claire and Giovanni Sarti,1
Clarence Dillon,1
Collis P. Huntington,3
Colonel C. Michael Paul,1
Consuelo Vanderbilt Balsan,1
Cornelius Vanderbilt,2
Coudert Brothers,5
D.C. Samuel H. Kress Collection,1
Damon Mezzacappa,1
Daniel Wildenstein,1
Darcy Bradbury,1
David Mortimer,1
David and Julie Tobey,1
Denise and Andrew Saul,1
Diane Burke,1
Dianne Modestini,2
Dinko Podrug,1
Dodge Fund,3
Donald S. Klopfer,1
Dr. Ernest G. Stillman,1
Dr. and Mrs. Manuel Porter and sons,1
Drue Heinz Foundation,1
Earl Kiely,1
Edith Neuman de Végvár,1
Edward A. and Karen S. W. Friedman,1
Edward Fowles,4
Edward J. Gallagher Jr.,1
Edward S. Harkness,2
Edward W. Carter,1
Edwin L. Weisl Jr.,1
Elaine L. Rosenberg,1
Elaine Rosenberg,1
Elinor Dorrance Ingersoll,1
Elizabeth U. Coles,1
Ella Morris de Peyster,2
Enid A. Haupt,2
Eric Seiler,1
Errol M. Rudman,10
Eugene V. Thaw,6
Eula M. Ganz,1
Everett Fahy,1
Fabrizio Moretti,3
Fern and George Wachter,1
Fletcher Fund,9
Forsyth Wickes,1
Francesca Rospigliosi,1
Francis Kleinberger,1
Francis L. Leland Fund,4
Frederick C. Hewitt Fund,4
Friends of European Paintings,6
G. Louise Robinson,1
George Blumenthal,32
George Delacorte Fund,2
George R. Hann,2
Georges Brauer,1
Gloria Zicht,1
Grace Rainey Rogers,13
Gwynne Andrews Fund,42
Gwynne Andrews Funds,1
H. O. Havemeyer Collection,5
Harriet H. Jonas,1
Harris Brisbane Dick Fund,8
Harry G. Sperling,3
Harry Payne Bingham Jr.,1
Helen Hay Whitney,1
Helen O. Brice,1
Helena W. Charlton,1
Henry G. Marquand,3
Herman and Lila Shickman,1
Hester Diamond,1
Humanities Fund Inc.,1
Irma N. Straus,7
Isabelle Richardson,1
Iva Podrug,1
J. Pierpont Morgan,14
James L. Loeb,1
James S. Deely,1
Jane L. Melville,1
Jean Fowles,2
Jean-Luc Baroni,1
John Stewart Kennedy Fund,11
Jon and Barbara Landau,2
Joseph Pulitzer,4
Josephine Bieber,1
Jules Fisher,1
Julia A. Berwind,2
Katherine D. W. Glover,1
Katherine S. Dreier,1
Kretschmar Fund,1
L. H. P. Klotz,1
Lawrence and Julie Salander,2
Lewis C. Ledyard III,1
Lila Acheson Wallace,7
Lillian S. Timken,1
Lore Heinemann,8
Louis V. Bell Fund,1
Lucy G. Moses,2
Luigi Koelliker,1
Mabel Choate,1
Maitland F. Griggs,13
Maitland F. Griggs Collection,13
Marco Voena,1
Maria DeWitt Jesup Fund,3
Mario Modestini,1
Mario and Dianne Modestini,1
Marquand Collection,3
Marquand Fund,10
Martha T. Fiske Collord,2
Mary Clark Thompson,1
Mary Cushing Fosburgh,1
Mary Jane Harris,1
Mary L. Harrison,1
Mary Stillman Harkness,2
Mary V. T. Eberstadt,1
Mary Wetmore Shively,1
Maurizio and Dominique Canesso,1
May Dougherty King,1
Melissa O. Aronson,1
Michael Dreicer,3
Michael Friedsam,27
Michel David-Weill,1
Millie Bruhl Fredrick,2
Miss Adelaide Milton de Groot (1876-1967),2
Mortimer D. Sackler,1
Mr. and Mrs. Charles Wrightsman,11
Mr. and Mrs. Edward A. Friedman,1
Mr. and Mrs. Edwin L. Weisl Jr.,1
Mr. and Mrs. Eugene Victor Thaw,1
Mr. and Mrs. Frank E. Richardson,2
Mr. and Mrs. Frederick W. Beinecke,1
Mr. and Mrs. Harold Morton Landon,1
Mr. and Mrs. J. Tomilson Hill,1
Mr. and Mrs. Joshua Logan,1
Mr. and Mrs. Mark Fisch,6
Mr. and Mrs. Nate B. Spingold,1
Mr. and Mrs. Piero Corsini,1
Mr. and Mrs. Ralph Friedman,1
Mr. and Mrs. Richard L. Chilton Jr.,1
Mrs. Charles S. Payson,1
Mrs. Charles Wrightsman,14
Mrs. Donald Oenslager,2
Mrs. Edward C. Moën,1
Mrs. H. O. Havemeyer,5
Mrs. Haebler Frantz,1
Mrs. Ralph J. Hines,1
Mrs. Ridgely Hunt,1
Mrs. T. F. Turner,1
Mrs. Victor Onet,1
Mrs. W. Murray Crane,5
Mrs. William M. Haupt,1
Munsey Fund,2
Museum Purchase Fund,1
Nancy,1
Nena Ilic-Podrug,1
Ogden Mills,1
Pat and John Rosenwald,1
Patrick Matthiesen and The Matthiesen Gallery,1
Paul Ganz,1
Paul Peralta Ramos,1
Peter Tcherepnine,1
Philippe de Montebello Fund,1
R. A. Farnsworth,1
Richard De Wolfe Brixey,1
Richard L. Feigen,1
Robert Gordon,2
Robert Lehman,6
Robert Lehman Foundation Inc.,1
Rodman Wanamaker,1
Rogers Fund,74
Ronald S. Lauder,2
Rudolph and Lentilhon G. von Fluegge Foundation Inc.,1
Ruth and Victoria Blumka Fund,1
Samuel H. Kress,2
Samuel H. Kress Foundation,3
Stephen Mazoh,2
Stephenson Family Foundation,2
Thaw Collection,5
The Alfred N. Punnett Endowment Fund,4
The Annenberg Foundation,2
The Camille M. Lownds Fund,1
The Charles Engelhard Foundation,1
The Collection of Giovanni P. Morosini,2
The Friedsam Collection,27
The Jack and Belle Linsky Collection,14
The Jack and Belle Linsky Foundation,2
The Jules Bache Collection,16
The Morris,1
The Morris and Alma Schapiro Fund,1
The Morse G. Dial Foundation,1
The Reed Foundation,1
The Vincent Astor Foundation,1
Theodore M. Davis,17
Theodore M. Davis Collection,16
Theresa Sackler and Family Fund,1
University Place Foundation,1
Victor Wilbour Memorial Fund,7
Walter and Leonore Annenberg Acquisitions Endowment Fund,2
Walter and Leonore Annenberg and The Annenberg Foundation,1
Wrightsman Fund,4
in memory of George T. Delacorte Jr.,1
nan,12
several members of The Chairman's Council,1
the Collection of James Stillman,1
the Eugene V. and Clare E. Thaw Charitable Trust,1
the children of Mrs. Harry Payne Whitney,1
the family of Francis M. Bacon,1
Álvaro Saieh Bendeck,3
