,freq
Asta Christie's,4
Asta Galerie Georges Petit,2
Asta Sotheby's,1
Chiesa del SS. Nome di Gesù,1
Collezione B. Altman,2
Collezione B. Crespi,2
Collezione Colonna,1
Collezione Fassati,1
Collezione Friedsam,1
Collezione G. e F. Blumenthal,1
Collezione H.G. Sperling,2
Collezione J. Pierpont Morgan,2
Collezione J.E. Taylor,1
Collezione J.H. Harding,1
Collezione J.S. Bache,2
Collezione Linsky,1
Collezione Mr. e Mrs. C.B. Wrightsman,1
Collezione Mrs. C. Segal,1
Collezione O. Wertheimer,1
Collezione R. Lehman,1
Collezione S. Brunswick,1
Collezione Stillman,1
Collezione colonnello Sacchetti,1
Collezioni reali,1
Convento di S. Antonio da Padova,1
Dowdeswell & Dowdeswell,1
E. Volpi,1
F. Mont,1
Galleria Fleischmann,1
Hammer Galleries,1
Kleinberger Galleries,2
Knoedler and Co.,1
Matthiesen,1
Mercato antiquario,1
Morandotti,1
Oratorio di S. Maria Maddalena all'Isola,1
P. Corsini,2
collezione Chalandon,1
collezione Earl of Harewood,1
collezione duca del Devonshire,1
